xNi,P/W,v/mm/s,t/um,h/um,Ev/J.mm-3,Es/J.mm-2,El/J.mm-1,RA,D/um,Oxygen/ppm,RelativeDensity/%,UTS/MPa,EL/%,SIM-SMR/MPa,Ms/K,Af/K,Hysteresis/K,type
50.8,96,350,40,80,85.7,6.9,0.3,90,80,500,,,,,300.9,330.9,30,11
50.8,60,160,40,100,93.8,9.4,0.4,90,80,500,,,,,318.8,348.1,29.2,11
50.8,96,250,40,100,96,9.6,0.4,90,80,500,,,,,303.3,337,33.7,11
50.8,96,297,40,80,101,8.1,0.3,90,80,500,,,,,297.4,319.8,22.4,11
50.8,96,200,40,100,120,12,0.5,90,80,500,,,,,313,345.6,32.6,11
50.8,60,120,40,100,125,12.5,0.5,90,80,500,,,,,330,358.5,28.5,11
50.8,72,120,40,120,125,15,0.6,90,80,500,,,,,325.8,355.7,29.9,11
50.8,60,80,40,120,156.3,18.8,0.8,90,80,500,,,,,337.1,366.6,29.4,11
50.8,65,80,40,120,169.3,20.3,0.8,90,80,500,,,,,336.7,368.3,31.6,11
50.8,60,80,40,80,234.4,18.8,0.8,90,80,500,,,,,338.7,369.3,30.6,11
50.8,75,800,20,100,46.9,4.7,0.1,67,100,300,95.6,740,8.6,205,288.2,310.2,22,12
50.8,75,400,40,100,46.9,4.7,0.2,67,100,300,98.8,722,9.4,256.2,314.2,344.2,30,12
50.8,150,1000,20,120,62.5,7.5,0.2,67,100,300,99.2,796,9.6,245,273.2,293.2,20,12
50.8,200,1000,40,80,62.5,5,0.2,67,100,300,99.2,691,9.4,263.1,281.2,308.2,27,12
50.8,200,1200,20,120,69.4,8.3,0.2,67,100,300,99.4,782,9.1,215.2,287.2,311.2,24,12
50.8,100,600,30,80,69.4,5.6,0.2,67,100,300,99.4,733,9.4,235.2,312.2,339.2,27,12
50.8,75,400,30,80,78.1,6.3,0.2,67,100,300,99.8,728,8.6,155.2,315.2,356.2,41,12
50.8,150,400,40,120,78.1,9.4,0.4,67,100,300,98.9,660,9.8,155.2,315.2,347.2,32,12
50.8,125,400,30,120,86.8,10.4,0.3,67,100,300,98.5,558,9,195.3,338.2,365.2,27,12
50.8,125,600,30,80,86.8,6.9,0.2,67,100,300,99.8,735,10.9,195.2,300.2,331.2,31,12
50.9,120,800,30,50,100,5,0.2,67,50,500,99.9,670.4,11.1,199,313.3,333.4,20.1,13
50.9,120,800,30,80,62.5,5,0.2,67,50,500,99.7,673.6,13.2,184.4,300.1,318.7,18.5,13
50.9,120,800,30,110,45.5,5,0.2,67,50,500,99.9,712.4,15.3,160.3,297.1,316.4,19.2,13
50.9,120,800,30,140,35.7,5,0.2,67,50,500,99.8,738.8,13.2,156.3,293.1,306.8,13.6,13
50.9,120,800,30,170,29.4,5,0.2,67,50,500,98,728.5,12.3,175.4,288.1,301.1,13,13
50.9,120,400,50,110,54.5,6,0.3,67,50,500,98.9,550.2,15.5,140.6,312.6,339.6,27,13
50.9,120,600,50,110,36.4,4,0.2,67,50,500,99.8,570,14.7,128.3,297.4,319.7,22.3,13
50.9,120,800,50,110,27.3,3,0.2,67,50,500,99.9,654.8,13.7,134.7,290.5,312.4,21.9,13
50.9,120,1000,50,110,21.8,2.4,0.1,67,50,500,99.9,747.1,13.4,153.8,293.6,315,21.4,13
50.9,120,1200,50,110,18.2,2,0.1,67,50,500,99.3,749.7,14.6,139.5,290.3,311.1,20.7,13
50.2,50,80,30,100,208.3,20.8,0.6,90,100,250,,,,,309.4,,,4
50.2,60,80,30,100,250,25,0.8,90,100,250,,,,,323.2,,,4
50.2,70,80,30,100,291.7,29.2,0.9,90,100,250,,,,,323.6,347.5,23.8,4
50.2,50,105,30,100,158.7,15.9,0.5,90,100,250,,,,,299,,,4
50.2,60,105,30,100,190.5,19,0.6,90,100,250,,,,,315,,,4
50.2,70,105,30,100,222.2,22.2,0.7,90,100,250,,788,7.4,565,316.9,341.3,24.3,4
50.2,50,120,30,100,138.9,13.9,0.4,90,100,250,,,,,293.7,321.9,33.2,4
50.2,60,120,30,100,166.7,16.7,0.5,90,100,250,,,,,301.7,326.8,25.1,4
50.2,70,120,30,100,194.4,19.4,0.6,90,100,250,,,,,310.5,332,21.4,4
50.2,50,150,30,100,111.1,11.1,0.3,90,100,250,,,,,278.8,,,4
50.2,60,150,30,100,133.3,13.3,0.4,90,100,250,,,,,282,,,4
50.2,70,150,30,100,155.6,15.6,0.5,90,100,250,,,,,308.5,329.4,20.8,4
49.4,70,105,30,100,222.2,22.2,0.7,90,100,650,,776,7.2,,322.2,354,31.8,4
50.7,60,400,30,80,62.5,5,0.2,67,80,300,99.77,607.6,5.6,270.7,296.6,,,14
50.7,90,600,30,80,62.5,5,0.2,67,80,300,99.88,769,5.5,224.5,290.1,,,14
50.7,120,800,30,80,62.5,5,0.2,67,80,300,99.9,824.3,5.2,273.7,289.7,,,14
50.7,150,1200,30,80,52.1,4.2,0.1,67,80,300,99.82,683.1,4.5,275,282.1,,,14
51,200,500,30,120,111.1,13.3,0.4,75,100,500,98.5,,,,281.2,301.2,20,15
51,200,600,30,120,92.6,11.1,0.3,75,100,500,98.71,,,,278.1,293.2,15.1,15
51,200,700,30,120,79.4,9.5,0.3,75,100,500,99.1,,,,276.1,291.2,15.1,15
51,200,800,30,120,69.4,8.3,0.3,75,100,500,99.41,,,,273.2,287.2,14,15
51,150,800,30,120,52.1,6.3,0.2,75,100,500,99.5,,,,268.1,285.2,17.1,15
51,250,800,30,120,86.8,10.4,0.3,75,100,500,98.8,,,,255.3,273.2,17.9,15
50.6,100,550,30,70,86.6,6.1,0.2,67,60,300,,,,,308.7,339.2,30.5,16
50.6,140,550,30,70,121.2,8.5,0.3,67,60,300,,,,,313.2,346.7,33.5,16
50.6,100,850,30,70,56,3.9,0.1,67,60,300,,,,,301.2,325.2,24,16
50.6,140,850,30,70,78.4,5.5,0.2,67,60,300,,,,,304.7,332.7,28,16
50.6,100,550,30,90,67.3,6.1,0.2,67,60,300,,,,,302.2,324.2,22,16
50.6,140,550,30,90,94.3,8.5,0.3,67,60,300,,,,,305.2,328.2,23,16
50.6,100,850,30,90,43.6,3.9,0.1,67,60,300,,,,,294.2,317.2,23,16
50.6,140,850,30,90,61,5.5,0.2,67,60,300,,,,,298.2,322.2,24,16
50.6,86,700,30,80,51.4,4.1,0.1,67,60,300,,,,,294.2,321.2,27,16
50.6,154,700,30,80,91.4,7.3,0.2,67,60,300,,,,,308.2,333.2,25,16
50.6,120,448,30,80,111.6,8.9,0.3,67,60,300,,,,,318.2,346.2,28,16
50.6,120,952,30,80,52.5,4.2,0.1,67,60,300,,,,,302.2,325.2,23,16
50.6,120,700,30,63,90.4,5.7,0.2,67,60,300,,,,,305.7,334.7,29,16
50.6,120,700,30,97,59,5.7,0.2,67,60,300,,,,,298.7,324.2,25.5,16
50.6,120,700,30,80,71.4,5.7,0.2,67,60,300,,,,,302.2,332.2,30,16
50.6,120,700,30,80,71.4,5.7,0.2,67,60,300,,,,,301.2,329.7,28.5,16
50.6,120,700,30,80,71.4,5.7,0.2,67,60,300,,,,,304.2,333.2,29,16
50.6,120,700,30,80,71.4,5.7,0.2,67,60,300,,,,,302.2,329.2,27,16
50.6,120,700,30,80,71.4,5.7,0.2,67,60,300,,,,,301.7,330.2,28.5,16
50.6,120,700,30,80,71.4,5.7,0.2,67,60,300,,,,,301.2,331.2,30,16
50.6,100,450,30,80,92.6,7.4,0.2,67,60,300,,687,10.1,,310,336.7,26.7,16
50.6,150,675,30,80,92.6,7.4,0.2,67,60,300,,755,11.6,,307.5,334.2,26.7,16
50.6,100,550,30,80,75.8,6.1,0.2,67,60,300,,729,10.5,,303,331.2,28.2,16
50.6,150,825,30,80,75.8,6.1,0.2,67,60,300,,766,12,,307,332.7,25.7,16
50.6,100,650,30,80,64.1,5.1,0.2,67,60,300,,733,10.9,,304,329.7,25.7,16
50.6,150,975,30,80,64.1,5.1,0.2,67,60,300,,735,11.6,,,,,16
